date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:38	176/176	---MCZ	200	added ('OK')	text/plain	date:Wed,%2022%20Jan%202025%2016:28:38%20GMT	https://rosengroup.ca/robots.txt		(from )
11:28:40	207644/207644	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202025%2016:28:40%20GMT	https://rosengroup.ca/	C:/My%20Web%20Sites/Rosen%20Group/rosengroup.ca/index.html	(from )
11:28:40	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2022%20Jan%202025%2016:28:40%20GMT	https://rosengroup.ca/xmlrpc.php	C:/My%20Web%20Sites/Rosen%20Group/rosengroup.ca/xmlrpc.php	(from https://rosengroup.ca/)
11:28:41	2894/2894	---MCZ	200	added ('OK')	text/css	etag:W/%22678e7905-b4e%22	https://rosengroup.ca/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.3	C:/My%20Web%20Sites/Rosen%20Group/rosengroup.ca/wp-content/plugins/contact-form-7/includes/css/styles1eb7.css	(from https://rosengroup.ca/)
11:28:41	3042/3042	---MCZ	200	added ('OK')	text/css	etag:W/%2267856aa9-be2%22	https://rosengroup.ca/wp-content/plugins/translatepress-multilingual/assets/css/trp-language-switcher.css?ver=2.9.3	C:/My%20Web%20Sites/Rosen%20Group/rosengroup.ca/wp-content/plugins/translatepress-multilingual/assets/css/trp-language-switcherf342.css	(from https://rosengroup.ca/)
11:28:41	9427/9427	---M--	200	added ('OK')	image/gif	etag:%22674f68ca-24d3%22	https://rosengroup.ca/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/My%20Web%20Sites/Rosen%20Group/rosengroup.ca/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://rosengroup.ca/)
11:28:43	737/737	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22b1f8d05edc686372d3f6b12e8c80214a%22	https://rosengroup.ca/comments/feed/	C:/My%20Web%20Sites/Rosen%20Group/rosengroup.ca/comments/feed/index.html	(from https://rosengroup.ca/)
11:28:44	34350/34350	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22674f68ca-862e%22	http://rosengroup.ca/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot	C:/My%20Web%20Sites/Rosen%20Group/rosengroup.ca/wp-content/themes/Divi/core/admin/fonts/fontawesome/fa-regular-400.eot	(from https://rosengroup.ca/)
11:28:44	20738/20738	---MCZ	200	added ('OK')	text/css	etag:W/%226791187b-5102%22	https://rosengroup.ca/wp-content/et-cache/2/et-divi-dynamic-tb-20-tb-46-2-late.css?ver=1737561952	C:/My%20Web%20Sites/Rosen%20Group/rosengroup.ca/wp-content/et-cache/2/et-divi-dynamic-tb-20-tb-46-2-late907b.css	(from https://rosengroup.ca/)
11:28:44	92172/92172	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22674f68ca-1680c%22	http://rosengroup.ca/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	C:/My%20Web%20Sites/Rosen%20Group/rosengroup.ca/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	(from https://rosengroup.ca/)
11:28:44	843/843	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22b1f8d05edc686372d3f6b12e8c80214a%22	https://rosengroup.ca/feed/	C:/My%20Web%20Sites/Rosen%20Group/rosengroup.ca/feed/index.html	(from https://rosengroup.ca/)
11:28:44	1140/1140	---MCZ	200	added ('OK')	text/css	etag:W/%2267911760-474%22	https://rosengroup.ca/wp-content/et-cache/2/et-divi-dynamic-tb-20-tb-46-2.css?ver=1737561952	C:/My%20Web%20Sites/Rosen%20Group/rosengroup.ca/wp-content/et-cache/2/et-divi-dynamic-tb-20-tb-46-2907b.css	(from https://rosengroup.ca/)
11:28:44	432852/432852	---MCZ	200	added ('OK')	text/css	etag:W/%2267856aa6-69ad4%22	https://rosengroup.ca/wp-content/plugins/supreme-modules-pro-for-divi/styles/style.min.css?ver=4.9.97.26	C:/My%20Web%20Sites/Rosen%20Group/rosengroup.ca/wp-content/plugins/supreme-modules-pro-for-divi/styles/style.minc8a8.css	(from https://rosengroup.ca/)
11:28:45	54/54	---MCZ	200	added ('OK')	text/css	etag:W/%2264c27f27-36%22	https://rosengroup.ca/wp-content/plugins/divi-responsive-helper/includes/assets/public/css/style.min.css?ver=2.3.5	C:/My%20Web%20Sites/Rosen%20Group/rosengroup.ca/wp-content/plugins/divi-responsive-helper/includes/assets/public/css/style.min25b6.css	(from https://rosengroup.ca/)
11:28:45	2137/2137	---MCZ	200	added ('OK')	text/css	etag:W/%2264c27f27-859%22	https://rosengroup.ca/wp-content/plugins/divi-responsive-helper/includes/assets/public/css/stacking.min.css?ver=2.3.5	C:/My%20Web%20Sites/Rosen%20Group/rosengroup.ca/wp-content/plugins/divi-responsive-helper/includes/assets/public/css/stacking.min25b6.css	(from https://rosengroup.ca/)
11:28:45	14753/14753	---MCZ	200	added ('OK')	text/css	etag:W/%2264c27f27-39a1%22	https://rosengroup.ca/wp-content/plugins/divi-responsive-helper/includes/assets/public/css/column-numbering.min.css?ver=2.3.5	C:/My%20Web%20Sites/Rosen%20Group/rosengroup.ca/wp-content/plugins/divi-responsive-helper/includes/assets/public/css/column-numbering.min25b6.css	(from https://rosengroup.ca/)
11:28:45	28630/28630	---MCZ	200	added ('OK')	text/css	etag:W/%22678e7909-6fd6%22	https://rosengroup.ca/wp-content/plugins/wpforms/assets/css/integrations/divi/choices.min.css?ver=10.2.0	C:/My%20Web%20Sites/Rosen%20Group/rosengroup.ca/wp-content/plugins/wpforms/assets/css/integrations/divi/choices.minf855.css	(from https://rosengroup.ca/)
11:28:45	284547/284547	---MCZ	200	added ('OK')	text/css	etag:W/%22678e7909-45783%22	https://rosengroup.ca/wp-content/plugins/wpforms/assets/pro/css/integrations/divi/intl-tel-input.min.css?ver=21.2.8	C:/My%20Web%20Sites/Rosen%20Group/rosengroup.ca/wp-content/plugins/wpforms/assets/pro/css/integrations/divi/intl-tel-input.mind11f.css	(from https://rosengroup.ca/)
11:28:46	4723/4723	---MCZ	200	added ('OK')	text/css	etag:W/%22678e7909-1273%22	https://rosengroup.ca/wp-content/plugins/wpforms/assets/pro/css/integrations/divi/richtext.min.css?ver=1.9.3.1	C:/My%20Web%20Sites/Rosen%20Group/rosengroup.ca/wp-content/plugins/wpforms/assets/pro/css/integrations/divi/richtext.min5d24.css	(from https://rosengroup.ca/)
11:28:46	8223/8223	---MCZ	200	added ('OK')	text/css	etag:W/%22678e7909-201f%22	https://rosengroup.ca/wp-content/plugins/wpforms/assets/pro/css/integrations/divi/content.min.css?ver=1.9.3.1	C:/My%20Web%20Sites/Rosen%20Group/rosengroup.ca/wp-content/plugins/wpforms/assets/pro/css/integrations/divi/content.min5d24.css	(from https://rosengroup.ca/)
